메이커,모델,스펙,배기량,기통,변속기,연료,CITY연비,HWY연비,CO2배출량
AUDI,R8,TWO_SEATER,4.2,8.0,AT,고급유,5.7,9.1,336.0
AUDI,R8,TWO_SEATER,5.2,10.0,AT,고급유,5.5,9.4,347.0
AUDI,R8,TWO_SEATER,4.2,8.0,AT,고급유,5.7,9.1,336.0
AUDI,R8,TWO_SEATER,5.2,10.0,AT,고급유,,9.4,347.0
AUDI,RS,SUBCOMPACT,4.2,8.0,AT,고급유,6.5,9.2,306.0
AUDI,RS,SUBCOMPACT,4.2,8.0,AT,고급유,6.6,8.8,308.0
AUDI,S4,COMPACT,3.0,6.0,AT,고급유,7.6,10.9,262.0
AUDI,S5,SUBCOMPACT,3.0,6.0,AT,고급유,7.6,10.9,262.0
AUDI,S5,SUBCOMPACT,3.0,6.0,AT,고급유,7.5,10.5,267.0
AUDI,S6,MID_SIZE,4.0,8.0,AT,고급유,7.0,10.3,281.0
AUDI,S7,MID_SIZE,4.0,8.0,AT,고급유,7.0,10.3,281.0
AUDI,TT,SUBCOMPACT,2.0,4.0,AT,고급유,9.6,13.2,209.0
AUDI,TT,TWO_SEATER,2.0,4.0,AT,고급유,9.6,13.2,209.0
AUDI,TTS,SUBCOMPACT,2.0,4.0,AT,고급유,8.7,11.4,237.0
AUDI,TTS,TWO_SEATER,2.0,4.0,AT,고급유,8.7,11.4,237.0
AUDI,A3,SUBCOMPACT,1.8,4.0,AT,고급유,10.0,14.1,200.0
AUDI,A3_TDI,SUBCOMPACT,2.0,4.0,AT,경유,13.2,18.2,177.0
AUDI,A3,SUBCOMPACT,2.0,4.0,AT,고급유,10.2,13.9,198.0
AUDI,A3,SUBCOMPACT,2.0,4.0,AT,고급유,9.9,13.3,205.0
AUDI,R8,TWO_SEATER,4.2,8.0,AT,고급유,5.8,9.6,327.0
AUDI,R8,TWO_SEATER,5.2,10.0,AT,고급유,,9.4,347.0
AUDI,R8,TWO_SEATER,4.2,8.0,AT,고급유,5.8,9.6,327.0
AUDI,R8,TWO_SEATER,5.2,10.0,AT,고급유,,9.4,347.0
AUDI,RS,SUBCOMPACT,4.2,8.0,AT,고급유,6.7,9.9,294.0
AUDI,RS,SUBCOMPACT,4.2,8.0,AT,고급유,6.8,9.4,297.0
AUDI,S3,SUBCOMPACT,2.0,4.0,AT,고급유,9.9,13.0,207.0
