메이커,모델,스펙,배기량,기통,변속기,연료,CITY연비,HWY연비,CO2배출량
AUDI,A4,COMPACT,2.0,4.0,MT,고급유,9.3,13.3,214.0
AUDI,A4,,2.0,4.0,MT,고급유,9.3,13.3,214.0
AUDI,R8,TWO_SEATER,4.2,8.0,MT,고급유,4.7,7.5,407.0
AUDI,R8,TWO_SEATER,5.2,10.0,MT,고급유,4.7,7.2,409.0
AUDI,R8,TWO_SEATER,4.2,8.0,MT,고급유,4.7,7.5,407.0
AUDI,R8,TWO_SEATER,5.2,10.0,MT,고급유,4.7,7.2,409.0
AUDI,S4,COMPACT,3.0,6.0,MT,고급유,6.8,10.2,285.0
AUDI,S5,SUBCOMPACT,3.0,6.0,MT,고급유,6.8,10.2,285.0
AUDI,A4,COMPACT,2.0,4.0,MT,고급유,9.4,13.7,209.0
AUDI,A5,SUBCOMPACT,2.0,4.0,MT,고급유,9.4,13.7,209.0
AUDI,R8,TWO_SEATER,4.2,8.0,MT,고급유,4.9,8.5,382.0
AUDI,R8,TWO_SEATER,5.2,10.0,MT,고급유,5.0,8.3,377.0
AUDI,R8,TWO_SEATER,4.2,8.0,MT,고급유,4.9,8.5,382.0
AUDI,R8,TWO_SEATER,5.2,10.0,MT,고급유,5.0,8.3,377.0
AUDI,S4,COMPACT,3.0,6.0,MT,고급유,7.2,11.1,269.0
AUDI,S5,SUBCOMPACT,3.0,6.0,MT,고급유,7.2,11.1,269.0
AUDI,A4,COMPACT,2.0,4.0,MT,고급유,9.4,13.7,214.0
AUDI,A5,SUBCOMPACT,2.0,4.0,MT,고급유,9.4,13.7,214.0
AUDI,S4,COMPACT,3.0,6.0,MT,고급유,7.2,11.1,273.0
AUDI,S5,SUBCOMPACT,3.0,6.0,MT,고급유,7.2,11.1,273.0
AUDI,A4,COMPACT,2.0,4.0,MT,고급유,10.1,14.3,204.0
AUDI,A5,SUBCOMPACT,2.0,4.0,MT,고급유,9.6,13.7,210.0
AUDI,S5,SUBCOMPACT,3.0,6.0,MT,고급유,7.2,11.1,273.0
AUDI,A4,COMPACT,2.0,4.0,MT,고급유,10.1,14.1,204.0
AUDI,A5,SUBCOMPACT,2.0,4.0,MT,고급유,10.1,14.1,204.0
BMW,320I,COMPACT,2.0,4.0,MT,고급유,9.6,14.9,200.0
BMW,328I,COMPACT,2.0,4.0,MT,고급유,9.6,14.9,200.0
BMW,335I,COMPACT,3.0,6.0,MT,고급유,8.5,12.7,230.0
BMW,335I,COMPACT,3.0,6.0,MT,고급유,8.4,12.0,237.0
BMW,428I,COMPACT,2.0,4.0,MT,고급유,9.6,14.9,200.0
BMW,435I,COMPACT,3.0,6.0,MT,고급유,8.5,12.7,230.0
BMW,435I,COMPACT,3.0,6.0,MT,고급유,8.4,12.0,237.0
BMW,M5,MID_SIZE,4.4,8.0,MT,고급유,6.2,9.2,317.0
BMW,M6,SUBCOMPACT,4.4,8.0,MT,고급유,6.2,9.2,317.0
BMW,M6,COMPACT,4.4,8.0,MT,고급유,6.2,9.2,317.0
BMW,Z4,TWO_SEATER,2.0,4.0,MT,고급유,9.6,14.9,200.0
BMW,Z4,TWO_SEATER,3.0,6.0,MT,고급유,7.9,11.1,253.0
BMW,228I,SUBCOMPACT,2.0,4.0,MT,고급유,9.3,14.5,207.0
BMW,320I,COMPACT,2.0,4.0,MT,고급유,9.3,14.5,207.0
BMW,328I,COMPACT,2.0,4.0,MT,고급유,9.3,14.5,207.0
BMW,335I,COMPACT,3.0,6.0,MT,고급유,8.7,12.8,225.0
BMW,335I,COMPACT,3.0,6.0,MT,고급유,8.3,12.0,237.0
BMW,428I,COMPACT,2.0,4.0,MT,고급유,9.3,14.5,207.0
BMW,428I,COMPACT,2.0,4.0,MT,고급유,9.2,14.7,207.0
BMW,435I,COMPACT,3.0,6.0,MT,고급유,8.7,12.8,225.0
BMW,435I,COMPACT,3.0,6.0,MT,고급유,8.3,12.0,237.0
BMW,M235I,SUBCOMPACT,3.0,6.0,MT,고급유,8.1,11.1,248.0
BMW,M235I,SUBCOMPACT,3.0,6.0,MT,고급유,8.4,11.8,239.0
BMW,M3,COMPACT,3.0,6.0,MT,고급유,7.3,11.1,267.0
BMW,M4,SUBCOMPACT,3.0,6.0,MT,고급유,7.1,11.1,271.0
BMW,M4,COMPACT,3.0,6.0,MT,고급유,7.3,11.1,267.0
BMW,M5,MID_SIZE,4.4,8.0,MT,고급유,6.2,9.3,315.0
BMW,M6,SUBCOMPACT,4.4,8.0,MT,고급유,6.2,9.3,315.0
BMW,M6,COMPACT,4.4,8.0,MT,고급유,6.2,9.3,315.0
BMW,M6,COMPACT,4.4,8.0,MT,고급유,6.2,9.3,315.0
BMW,Z4,TWO_SEATER,2.0,4.0,MT,고급유,9.3,14.5,207.0
BMW,Z4,TWO_SEATER,3.0,6.0,MT,고급유,7.9,11.1,253.0
BMW,228I,SUBCOMPACT,2.0,4.0,MT,고급유,9.3,14.3,211.0
BMW,320I,COMPACT,2.0,4.0,MT,고급유,9.3,14.3,211.0
BMW,340I,COMPACT,3.0,6.0,MT,고급유,8.6,12.8,231.0
BMW,340I,COMPACT,3.0,6.0,MT,고급유,8.4,12.0,241.0
BMW,428I,COMPACT,2.0,4.0,MT,고급유,9.3,14.3,211.0
BMW,428I,COMPACT,2.0,4.0,MT,고급유,9.2,14.7,210.0
BMW,435I,COMPACT,3.0,6.0,MT,고급유,8.3,11.9,246.0
BMW,435I,COMPACT,3.0,6.0,MT,고급유,8.1,11.9,247.0
BMW,M2,SUBCOMPACT,3.0,6.0,MT,고급유,7.9,10.9,260.0
BMW,M235I,SUBCOMPACT,3.0,6.0,MT,고급유,8.4,11.6,245.0
BMW,M235I,SUBCOMPACT,3.0,6.0,MT,고급유,8.3,11.9,246.0
BMW,M3,COMPACT,3.0,6.0,MT,고급유,7.3,11.1,271.0
BMW,M4,SUBCOMPACT,3.0,6.0,MT,고급유,7.1,11.1,278.0
BMW,M4,COMPACT,3.0,6.0,MT,고급유,7.3,11.1,271.0
BMW,M5,MID_SIZE,4.4,8.0,MT,고급유,6.2,9.2,321.0
BMW,M6,COMPACT,4.4,8.0,MT,고급유,6.2,9.2,321.0
BMW,M6,SUBCOMPACT,4.4,8.0,MT,고급유,6.2,9.2,321.0
BMW,M6,COMPACT,4.4,8.0,MT,고급유,6.2,9.2,321.0
BMW,Z4,TWO_SEATER,2.0,4.0,MT,고급유,9.3,14.3,211.0
BMW,230I,SUBCOMPACT,2.0,4.0,MT,고급유,9.0,13.7,219.0
BMW,320I,COMPACT,2.0,4.0,MT,고급유,9.8,14.9,202.0
BMW,340I,COMPACT,3.0,6.0,MT,고급유,8.2,12.2,242.0
BMW,340I,COMPACT,3.0,6.0,MT,고급유,8.2,11.8,246.0
BMW,440I,COMPACT,3.0,6.0,MT,고급유,8.2,12.2,242.0
BMW,440I,COMPACT,3.0,6.0,MT,고급유,8.2,11.8,246.0
BMW,M2,SUBCOMPACT,3.0,6.0,MT,고급유,7.6,10.9,267.0
BMW,M240I,SUBCOMPACT,3.0,6.0,MT,고급유,8.2,12.2,242.0
BMW,M240I,SUBCOMPACT,3.0,6.0,MT,고급유,8.0,11.9,250.0
BMW,M3,COMPACT,3.0,6.0,MT,고급유,7.3,11.0,273.0
