"SLAB气","SLAB辨捞","SLAB吝樊","SLAB弥檬历厘困摹","楷林备盒","窜困郴鉴辑","乞闭TS","傈窜_沥沥LT","犁丰锅龋","SLAB锅龋"
1180,8520,19.65,"2GA","2楷林",24,342,0,"HQY130320","SQ53149 541"
1180,8680,20.02,"2GC","2楷林",11,306,0,"HQF139400","SQ72290 561"
1290,8550,21.56,"2GB","2楷林",46,355,0,"HQA009140","SQ56324 021"
1520,8890,25.99,"2GC","2楷林",8,278,11.6,"HQD037210","SQ65034 041"
1020,11480,22.89,"2GB","2楷林",28,344,0,"HQE138170","SQ69664 041"
1150,9190,20.66,"2GC","2楷林",89,421,0,"HQX040550","SQ49777 031"
1060,9370,19.42,"2GA","2楷林",83,332,0,"HQC138480","SQ64285 051"
1460,11850,33.28,"2GD","2楷林",11,254,12.7,"HQA154180","SQ58571 021"
1320,11700,29.71,"2GA","2楷林",1,307,6.9,"HQX065240","SQ50174 551"
1090,7580,15.89,"2GA","2楷林",62,305,7.1,"HQD140880","SQ66833 041"
1230,11760,27.6,"2GA","2楷林",35,276,9,"HQE118070","SQ69325 511"
1230,11620,27.27,"2GA","2楷林",32,281,10.4,"HQE118040","SQ69321 041"
1030,9980,20.1,"2GA","2楷林",93,452,0,"HQB011090","SQ59051 071"
1230,8640,19.87,"2GC","2楷林",64,307,9.4,"HQF163270","SQ72694 511"
1400,11670,31.94,"2GA","2楷林",1,275,0,"HQX011520","SQ49260 031"
1370,11480,30.75,"3GC","2楷林",60,274,0,"HQZ138340","SQ55549 031"
1160,11870,26.92,"3GC","2楷林",63,353,0,"HQJ131600","SQ80558 041"
1410,8210,22.27,"2GB","2楷林",21,331,11.2,"HQB098550","SQ60598 021"
1180,11480,26.48,"2GC","2楷林",39,291,0,"HQZ049290","SQ54142 511"
1210,9080,21.04,"2GB","2楷林",52,535,0,"HQA098750","SQ57788 021"
940,9000,16.54,"2GC","2楷林",61,329,0,"HQC030930","SQ62370 041"
1200,9070,21.28,"2GA","2楷林",83,331,0,"HQE119170","SQ69356 531"
1420,11690,31.67,"2GC","2楷林",51,288,14,"HQA044040","SQ56801 511"
1270,10950,26.75,"2GA","2楷林",13,324,13.7,"HQE038870","SQ67865 551"
1410,8220,22.3,"2GC","2楷林",14,292,15.7,"HQY117950","SQ52993 031"
1260,8180,20.15,"2GC","2楷林",52,335,0,"HQZ046960","SQ54112 031"
1240,11450,27.76,"2GC","2楷林",27,525,0,"HQD108340","SQ66319 531"
1120,10450,22.88,"2GC","2楷林",23,340,0,"HQG010400","SQ72897 051"
1260,9310,22.93,"2GB","2楷林",36,456,0,"HQX094350","SQ50572 521"
1430,11010,30.35,"2GC","2楷林",22,326,0,"HQZ032110","SQ53926 521"
1490,9830,27.67,"2GC","2楷林",51,252,5.2,"HQH033060","SQ76048 011"
1300,8750,21.54,"2GC","2楷林",9,302,8.2,"HQJ034100","SQ78839 011"
1220,11520,27.48,"2GC","2楷林",74,326,0,"HQZ116790","SQ55184 031"
1170,8960,20.49,"2GB","2楷林",12,358,0,"HQE100460","SQ69014 021"
1510,9690,27.68,"2GD","2楷林",3,280,11.4,"HQC093640","SQ63541 021"
1220,10900,26,"2GA","2楷林",15,338,0,"HQJ080390","SQ79630 531"
1400,11470,31.06,"2GD","2楷林",15,255,0,"HQA155000","SQ58627 511"
990,8880,17.19,"2GC","2楷林",81,452,0,"HQY007750","SQ51596 571"
1420,11850,32.37,"2GC","2楷林",16,298,13.5,"HQA070570","SQ57257 041"
1420,9370,25.6,"2GA","2楷林",3,281,7.6,"HQG050380","SQ73626 031"
1300,9110,22.43,"2GD","2楷林",81,492,7.5,"HQA162080","SQ58706 011"
1220,11850,27.81,"2GC","2楷林",59,287,3.1,"HQJ153440","SQ80970 041"
1450,9010,25.28,"2GC","2楷林",35,292,0,"HQA116600","SQ58016 011"
1050,11440,23.48,"2GA","2楷林",101,259,0,"HQX015210","SQ49287 051"
1380,11850,31.46,"2GA","2楷林",12,303,12.3,"HQC081130","SQ63301 031"
1110,11860,25.33,"2GB","2楷林",38,411,11.6,"HQD048250","SQ65215 041"
1070,9360,19.27,"2GC","2楷林",41,352,7.3,"HQD139240","SQ66809 521"
1270,11440,28.4,"2GC","2楷林",23,324,0,"HQH000780","SQ75529 011"
1280,11850,29.18,"2GA","2楷林",14,354,13.7,"HQB140610","SQ61407 061"
1290,10750,26.69,"2GB","2楷林",37,336,0,"HQJ093000","SQ79864 511"
1410,11660,31.63,"2GD","2楷林",28,287,8,"HQH008620","SQ75663 521"
1570,11400,34.99,"3GC","2楷林",4,329,0,"HQB132520","SQ61285 011"
1360,11160,29.2,"2GB","2楷林",6,333,3.1,"HQG090790","SQ74182 031"
900,11130,19.58,"2GA","2楷林",49,398,0,"HQF018190","SQ70310 061"
1020,11530,22.62,"2GC","2楷林",82,291,14.6,"HQD156260","SQ67084 021"
1160,11370,25.78,"2GD","2楷林",74,350,0,"HQY011180","SQ51655 041"
1410,10500,27.98,"2GA","2楷林",15,302,7,"HQF070610","SQ71059 511"
1270,11130,27.19,"2GA","2楷林",5,278,9,"HQZ138450","SQ55582 541"
1490,11860,33.72,"2GA","2楷林",27,256,13.7,"HQA041710","SQ56771 021"
1500,11840,34.17,"2GA","2楷林",6,278,13.8,"HQG042200","SQ73474 521"
1400,10600,29.01,"2GA","2楷林",10,254,0,"HQC138680","SQ64319 541"
1110,9740,21.14,"2GA","2楷林",54,330,0,"HQF056790","SQ70918 021"
1260,10970,27.02,"2GA","2楷林",22,293,0,"HQG152050","SQ75231 031"
1160,11510,25.48,"2GA","2楷林",41,257,11.9,"HQF090510","SQ71402 541"
1210,8220,19.44,"2GA","2楷林",62,334,0,"HQD000590","SQ64442 531"
1130,8740,19.31,"2GC","2楷林",25,546,0,"HQY097170","SQ52734 531"
1250,5750,14.05,"2GA","2楷林",90,338,0,"HQZ104050","SQ54994 041"
1510,11750,34.34,"2GB","2楷林",21,429,0,"HQC047190","SQ62687 011"
1070,8810,18.43,"2GA","2楷林",68,327,0,"HQX163400","SQ51440 521"
1430,10960,30.21,"2GB","2楷林",52,555,0,"HQX048160","SQ49897 521"
1290,10930,27.56,"2GB","2楷林",42,333,0,"HQF140640","SQ72335 031"
1390,7630,20.73,"2GA","2楷林",4,329,0,"HQB025030","SQ59292 531"
1290,10010,25.24,"3GC","2楷林",80,269,0,"HQZ038500","SQ54016 041"
940,10430,19.17,"3GC","2楷林",78,352,0,"HQF097530","SQ71553 531"
1070,7720,15.89,"2GC","2楷林",48,305,14.2,"HQZ104640","SQ54988 541"
1360,11790,30.85,"2GD","2楷林",77,532,7.4,"HQC145180","SQ64429 521"
1150,11610,25.53,"2GA","2楷林",74,293,0,"HQB034920","SQ59495 511"
1170,10860,24.24,"2GA","2楷林",42,336,12.8,"HQG005020","SQ72796 551"
1280,10570,26.03,"2GC","2楷林",43,335,12,"HQB050240","SQ59766 531"
1320,7890,20.36,"2GC","2楷林",18,345,0,"HQC108640","SQ63757 541"
1100,10680,22.97,"3GC","2楷林",91,301,0,"HQZ082570","SQ54595 551"
960,9100,17.08,"2GB","2楷林",51,356,0,"HQA068460","SQ57218 531"
1510,11670,34.45,"2GA","2楷林",5,348,0,"HQZ064370","SQ54348 041"
1340,8300,21.4,"2GA","2楷林",26,287,10.1,"HQZ130700","SQ55408 011"
950,10840,20.13,"2GA","2楷林",67,336,0,"HQC087710","SQ63440 021"
1450,7590,21.17,"2GC","2楷林",6,274,5.4,"HQY081880","SQ52545 021"
1000,10290,20.12,"2GB","2楷林",56,489,0,"HQJ109820","SQ80184 561"
1570,8680,26.22,"2GA","2楷林",11,271,7.8,"HQE024530","SQ67616 021"
1410,8220,22.3,"2GC","2楷林",13,293,15.7,"HQY117940","SQ52993 531"
1130,10010,22.11,"2GC","2楷林",42,328,0,"HQY027820","SQ51873 031"
1360,11800,31.37,"3GC","2楷林",49,332,0,"HQY089290","SQ52640 511"
1030,11160,22.47,"2GA","2楷林",85,359,0,"HQX150610","SQ51280 061"
1320,9680,24.58,"2GA","2楷林",5,305,7.7,"HQX065280","SQ50174 041"
1370,11290,30.24,"3GC","2楷林",61,325,0,"HQB134030","SQ61298 521"
1200,10330,24.23,"2GA","2楷林",75,286,0,"HQB038660","SQ59547 521"
1080,11020,22.9,"2GC","2楷林",75,326,15.5,"HQA137060","SQ58295 531"
1300,11470,29.15,"2GB","2楷林",88,502,0,"HQZ085210","SQ54628 041"
970,10350,19.63,"2GC","2楷林",63,328,0,"HQZ054300","SQ54194 571"
990,10590,20.17,"2GA","2楷林",84,270,13.8,"HQC094450","SQ63560 041"
1360,10630,27.81,"2GC","2楷林",20,310,9.5,"HQC108020","SQ63735 511"
1030,9690,19.51,"2GC","2楷林",83,330,0,"HQB071440","SQ60157 561"
1030,11820,23.42,"2GC","2楷林",86,313,11.7,"HQF135630","SQ72204 061"
1200,11820,27.06,"2GC","2楷林",23,299,8,"HQY125450","SQ53095 021"
1290,5930,14.96,"2GC","2楷林",26,423,0,"HQC111160","SQ63822 511"
1070,9140,19.12,"2GA","2楷林",57,269,0,"HQA029590","SQ56532 061"
1270,11270,27.98,"2GA","2楷林",15,275,0,"HQE116540","SQ69317 521"
1140,9730,21.34,"2GA","2楷林",77,305,6.1,"HQY020320","SQ51764 041"
1140,9700,20.99,"2GC","2楷林",31,304,13.2,"HQZ104470","SQ54986 511"
1560,11450,34.08,"2GC","2楷林",4,259,11.4,"HQC031090","SQ62379 021"
920,8710,15.67,"2GA","2楷林",69,414,0,"HQH157270","SQ78217 021"
