"성분AS","성분C","성분B","성분CA","성분CU","성분CR","성분MO","성분MN","성분N","성분P","성분S","성분TOTALAL","성분SOLAL","재료번호","성분V"
0.007,0.044,0,0,0.018,0.02,0,0.284,16,0.008,0.0037,0.028,0.025,"HQY130320",0
0.004,0.0197,0,0,0.031,0.02,0,0.208,17,0.0082,0.004,0.026,0.023,"HQF139400",0
0.006,0.0432,12,0,0.017,0.02,0,0.249,19,0.0056,0.003,0.033,0.032,"HQA009140",0
0.007,0.0018,0,0,0.011,0.02,0,0.095,18,0.0093,0.0042,0.028,0.027,"HQD037210",0.001
0.005,0.0426,0,0,0.033,0.03,0,0.183,18,0.0104,0.0032,0.033,0.032,"HQE138170",0
0.007,0.1159,0,0,0.015,0.02,0,0.439,23,0.0135,0.0023,0.023,0.022,"HQX040550",0.001
0.006,0.0423,0,0,0.009,0.02,0,0.193,27,0.008,0.0029,0.019,0.018,"HQC138480",0
0.007,0.0017,0,0,0.017,0.02,0,0.076,12,0.0078,0.0037,0.031,0.03,"HQA154180",0.002
0.005,0.0019,0,1,0.022,0.05,0.02,0.137,19,0.0503,0.0041,0.032,0.029,"HQX065240",0
0.005,0.0014,0,1,0.016,0.06,0.02,0.142,17,0.0485,0.004,0.036,0.034,"HQD140880",0.001
0.004,0.002,0,1,0.019,0.02,0,0.093,18,0.0103,0.0037,0.022,0.021,"HQE118070",0.001
0.005,0.0021,0,0,0.01,0.03,0,0.098,12,0.0111,0.0033,0.023,0.022,"HQE118040",0.001
0.007,0.0623,0,0,0.016,0.02,0,0.776,32,0.0113,0.0037,0.027,0.026,"HQB011090",0.001
0.005,0.0018,4,0,0.051,0.02,0,0.201,14,0.0454,0.0091,0.04,0.038,"HQF163270",0
0.007,0.0021,0,0,0.012,0.02,0,0.101,18,0.0099,0.003,0.029,0.027,"HQX011520",0.002
0.005,0.0023,0,0,0.014,0.02,0,0.101,16,0.0093,0.0038,0.03,0.029,"HQZ138340",0.001
0.004,0.0491,0,0,0.016,0.02,0,0.302,31,0.0094,0.0028,0.047,0.046,"HQJ131600",0
0.005,0.0358,0,0,0.023,0.02,0,0.192,21,0.0094,0.0043,0.026,0.025,"HQB098550",0
0.005,0.0019,0,0,0.02,0.02,0,0.149,18,0.0095,0.0034,0.028,0.026,"HQZ049290",0.002
0.007,0.1917,0,0,0.014,0.02,0,0.849,31,0.0114,0.003,0.029,0.028,"HQA098750",0
0.005,0.0357,0,0,0.03,0.02,0,0.196,28,0.0086,0.0032,0.018,0.017,"HQC030930",0
0.005,0.0371,0,0,0.02,0.02,0,0.193,25,0.0078,0.0032,0.035,0.033,"HQE119170",0
0.006,0.0023,0,0,0.009,0.02,0,0.139,12,0.0099,0.004,0.024,0.023,"HQA044040",0.002
0.005,0.0413,0,0,0.022,0.02,0,0.196,18,0.0074,0.0048,0.028,0.027,"HQE038870",0
0.006,0.002,0,1,0.01,0.02,0,0.133,22,0.0096,0.0038,0.028,0.027,"HQY117950",0.002
0.006,0.0371,0,2,0.013,0.02,0,0.195,33,0.0089,0.0032,0.028,0.026,"HQZ046960",0
0.005,0.0771,3,1,0.012,0.02,0,0.884,33,0.0195,0.0021,0.025,0.024,"HQD108340",0.002
0.005,0.0364,0,0,0.022,0.02,0,0.221,20,0.0093,0.0039,0.023,0.022,"HQG010400",0
0.005,0.1457,0,1,0.016,0.02,0,0.496,33,0.0137,0.0034,0.024,0.022,"HQX094350",0
0.005,0.0342,0,0,0.016,0.02,0,0.195,17,0.0091,0.0047,0.022,0.021,"HQZ032110",0
0.005,0.0013,0,0,0.009,0.01,0,0.062,13,0.0053,0.0033,0.033,0.032,"HQH033060",0.003
0.004,0.0013,0,0,0.097,0.02,0,0.144,14,0.02,0.0105,0.034,0.033,"HQJ034100",0
0.005,0.0409,0,0,0.021,0.02,0,0.188,19,0.0072,0.0032,0.028,0.027,"HQZ116790",0
0.006,0.0443,0,0,0.01,0.02,0,0.242,38,0.009,0.0031,0.034,0.033,"HQE100460",0.001
0.006,0.0017,0,0,0.032,0.02,0,0.103,19,0.009,0.0037,0.028,0.026,"HQC093640",0.001
0.003,0.0383,0,0,0.011,0.02,0,0.197,21,0.0105,0.0031,0.022,0.019,"HQJ080390",0
0.007,0.0016,0,0,0.018,0.02,0,0.07,13,0.0065,0.0034,0.036,0.035,"HQA155000",0.002
0.006,0.0609,0,1,0.019,0.02,0,0.776,26,0.0093,0.0033,0.043,0.04,"HQY007750",0.001
0.006,0.0023,0,0,0.1,0.02,0,0.149,16,0.0179,0.0094,0.03,0.029,"HQA070570",0
0.005,0.0023,0,0,0.025,0.03,0,0.089,21,0.0108,0.0036,0.024,0.024,"HQG050380",0.001
0.007,0.1509,0,0,0.014,0.02,0,0.814,33,0.0093,0.0026,0.027,0.026,"HQA162080",0
0.004,0.0022,0,0,0.012,0.01,0,0.145,13,0.0088,0.0033,0.03,0.028,"HQJ153440",0.001
0.007,0.0018,0,0,0.012,0.01,0,0.142,18,0.0093,0.0033,0.027,0.026,"HQA116600",0.002
0.006,0.0021,0,0,0.012,0.02,0,0.07,18,0.0083,0.0034,0.024,0.022,"HQX015210",0.004
0.004,0.0226,0,0,0.016,0.02,0,0.19,15,0.0097,0.0101,0.023,0.022,"HQC081130",0
0.007,0.0476,0,21,0.022,0.02,0,0.678,23,0.0117,0.0032,0.022,0.021,"HQD048250",0
0.005,0.0478,0,0,0.011,0.02,0,0.285,33,0.0096,0.0028,0.034,0.033,"HQD139240",0
0.004,0.0356,0,0,0.017,0.01,0,0.197,22,0.0068,0.0044,0.025,0.023,"HQH000780",0
0.005,0.0493,0,0,0.018,0.02,0,0.305,31,0.0113,0.0026,0.033,0.032,"HQB140610",0
0.004,0.0353,0,0,0.017,0.02,0,0.233,30,0.008,0.0027,0.033,0.031,"HQJ093000",0
0.003,0.0022,1,0,0.005,0.01,0,0.144,14,0.0098,0.0034,0.028,0.026,"HQH008620",0.001
0.006,0.0345,0,0,0.018,0.03,0,0.183,18,0.0111,0.0033,0.024,0.022,"HQB132520",0
0.004,0.0422,0,0,0.007,0.02,0,0.185,25,0.0132,0.0026,0.027,0.026,"HQG090790",0
0.005,0.0694,0,0,0.021,0.02,0,0.483,35,0.012,0.0027,0.044,0.043,"HQF018190",0.001
0.005,0.0019,0,2,0.01,0.02,0,0.102,14,0.0104,0.0033,0.028,0.028,"HQD156260",0.002
0.006,0.0477,0,0,0.018,0.02,0,0.277,29,0.0094,0.0037,0.029,0.028,"HQY011180",0
0.005,0.0015,4,0,0.056,0.02,0,0.191,16,0.0458,0.0087,0.038,0.034,"HQF070610",0
0.005,0.002,0,0,0.014,0.02,0,0.106,15,0.0093,0.0035,0.021,0.019,"HQZ138450",0.001
0.006,0.0021,0,0,0.008,0.02,0,0.06,13,0.0055,0.0033,0.031,0.03,"HQA041710",0.002
0.005,0.0018,0,0,0.02,0.03,0,0.096,20,0.0104,0.0039,0.025,0.022,"HQG042200",0.001
0.006,0.0022,0,0,0.02,0.02,0,0.081,17,0.0088,0.0035,0.023,0.021,"HQC138680",0.002
0.004,0.0372,0,0,0.009,0.02,0,0.192,30,0.0094,0.0024,0.032,0.031,"HQF056790",0
0.004,0.0164,0,1,0.015,0.02,0,0.183,12,0.0063,0.0029,0.02,0.02,"HQG152050",0
0.004,0.0023,0,18,0.017,0.02,0,0.1,15,0.0101,0.0036,0.032,0.03,"HQF090510",0.003
0.006,0.0409,0,0,0.01,0.02,0,0.188,14,0.0099,0.0037,0.02,0.02,"HQD000590",0
0.007,0.1874,0,0,0.013,0.02,0,0.858,31,0.0092,0.0026,0.019,0.018,"HQY097170",0.001
0.006,0.0382,0,0,0.013,0.02,0,0.203,19,0.0078,0.0034,0.023,0.022,"HQZ104050",0
0.006,0.1116,0,0,0.02,0.02,0,0.491,25,0.0081,0.0039,0.028,0.027,"HQC047190",0.001
0.006,0.0368,0,0,0.018,0.01,0,0.214,28,0.0067,0.0026,0.023,0.022,"HQX163400",0
