"SLAB번호","정정_장입LT","전저장위치코드","발지야드포인트","스카핑여부","품명","롤단위지정구분","월구분","정정_압연작업지시LT","장입온도"
"SQ53149 541",17.8,"5GG","5A",0,"HR","D",11,12.3,1255
"SQ72290 561",20.4,"5GG","4C",0,"HR","F",6,11.3,1151
"SQ56324 021",8.6,"3GB","5A",0,"HR",,1,-2.5,285
"SQ65034 041",5.3,"3GB","4C",1,"FH",,4,-7.4,2283
"SQ69664 041",15.6,"5GG","5A",0,"PO","F",5,5.4,262
"SQ49777 031",7.9,"5GG","4C",0,"HR",,10,-1.2,278
"SQ64285 051",19.3,"5GG","5A",0,"FH",,3,8.8,231
"SQ58571 021",5.3,"3GB","4C",1,"GI","F",1,-1.1,296
"SQ50174 551",11.4,"3GB","5A",1,"GI","F",10,-0.5,233
"SQ66833 041",12.3,"3GB","5A",1,"GI","F",4,4.8,195
"SQ69325 511",9.6,"3GB","5A",1,"HR","F",5,2.5,174
"SQ69321 041",8.8,"3GB","5A",1,"CR",,5,1.8,278
"SQ59051 071",14.4,"3GB","5A",0,"PO","B",2,0.2,204
"SQ72694 511",3.4,"3GB","4C",1,"GI","D",6,-8.2,261
"SQ49260 031",10,"5GG","5A",0,"CR",,10,-2.3,263
"SQ55549 031",20.3,"3GB","4C",0,"GI",,12,11.3,290
"SQ80558 041",20.8,"3GB","4C",0,"HR","F",9,12.8,237
"SQ60598 021",7.5,"3GB","5A",1,"HR","F",2,-0.2,191
"SQ54142 511",17,"3GB","4C",0,"GI",,12,4.8,186
"SQ57788 021",16.1,"5GG","5A",0,"HR","B",1,3.2,1255
"SQ62370 041",17.1,"5GG","4C",0,"BP",,3,7.7,287
"SQ69356 531",16.4,"5GG","5A",0,"HR",,5,7.7,289
"SQ56801 511",2.5,"3GB","4C",1,"CR",,1,-6.7,1255
"SQ67865 551",3.5,"3GB","5A",1,"CR",,5,-0.6,281
"SQ52993 031",2.7,"3GB","4C",1,"GI","F",11,-5.8,286
"SQ54112 031",15.9,"5GG","4C",0,"HR",,12,7.9,244
"SQ66319 531",9.1,"3GB","4C",1,"GI","B",4,-1.3,290
"SQ72897 051",17.1,"5GG","4C",0,"PO","F",7,11.6,294
"SQ50572 521",14.3,"5GG","5A",0,"HR","F",10,-1.4,289
"SQ53926 521",17.9,"5GG","4C",0,"HR","D",12,1.7,284
"SQ76048 011",8.6,"3GB","4C",1,"HR",,8,2.8,253
"SQ78839 011",8.2,"3GB","4C",1,"HR","F",9,-5.2,222
"SQ55184 031",16.9,"5GG","4C",0,"FH",,12,1.4,257
"SQ69014 021",16.1,"3GB","5A",0,"PO","D",5,5,238
"SQ63541 021",4.9,"3GB","4C",1,"HR","F",3,-4.8,235
