SLAB气,SLAB辨捞,SLAB吝樊,SLAB弥檬历厘困摹,楷林备盒,窜困郴鉴辑,乞闭TS,傈窜_沥沥LT,己盒AS,己盒C,己盒B,己盒CA,己盒CU,己盒CR,己盒MO,己盒MN,己盒N,己盒P,己盒S,己盒TOTALAL,己盒SOLAL,己盒V,沥沥_厘涝LT,傈历厘困摹内靛,惯瘤具靛器牢飘,胶墨俏咯何,前疙,岿备盒,沥沥_拘楷累诀瘤矫LT,厘涝柯档,HCR角利备盒
1230,8640,19.87,2GC,2楷林,64.0,307.0,9.4,0.005,0.0018,4,0,0.051,0.02,0.0,0.201,14.0,0.0454,0.0091,0.04,0.038,0.0,3.4,3GB,4C,1,GI,6,-8.2,261,1
1240,9730,23.59,2GB,2楷林,52.0,435.0,0.0,0.005,0.1262,0,0,0.017,0.02,0.0,0.325,34.0,0.0088,0.0035,0.018,0.018,0.0,7.2,5GG,5A,0,HGI,3,-1.3,649,0
1510,10430,30.79,2GD,2楷林,15.0,316.0,0.0,0.005,0.0203,1,0,0.02,0.02,0.0,0.123,14.0,0.009,0.0041,0.029,0.028,0.0,3.9,5GG,4C,0,HR,7,-6.4,721,0
1080,10040,21.2,2GD,2楷林,98.0,327.0,0.0,0.006,0.0355,0,0,0.01,0.02,0.0,0.186,21.0,0.008,0.0035,0.024,0.022,0.0,17.5,5GG,4C,0,HR,11,6.3,280,1
1210,10840,24.82,2GC,2楷林,62.0,299.0,9.2,0.006,0.0015,0,0,0.099,0.03,0.0,0.139,11.0,0.0189,0.0105,0.032,0.031,0.0,12.3,3GB,4C,1,GI,4,4.0,309,0
1510,11680,34.48,2GA,2楷林,40.0,315.0,0.0,0.006,0.0019,5,1,0.052,0.03,0.0,0.203,16.0,0.0434,0.0094,0.035,0.033,0.001,17.0,5GG,5A,0,GA,11,7.1,472,0
1090,8810,18.34,2GB,2楷林,89.0,328.0,0.0,0.004,0.0371,0,0,0.04,0.02,0.0,0.183,16.0,0.01,0.0036,0.026,0.025,0.0,13.4,3GB,5A,0,FH,4,5.0,362,0
1290,7530,18.99,2GA,2楷林,84.0,327.0,0.0,0.005,0.032,0,0,0.009,0.02,0.0,0.188,21.0,0.009,0.0021,0.028,0.028,0.0,19.9,5GG,5A,0,HR,4,7.4,422,0
1310,11790,30.19,3GC,2楷林,8.0,334.0,0.0,0.006,0.0391,0,0,0.009,0.02,0.0,0.189,18.0,0.0083,0.0035,0.021,0.021,0.0,11.7,3GB,4C,0,HR,5,5.8,489,0
1570,11400,34.99,2GD,2楷林,12.0,270.0,0.0,0.006,0.0025,0,0,0.018,0.02,0.0,0.092,19.0,0.0089,0.0033,0.026,0.024,0.001,9.0,5GG,4C,0,CR,10,-1.0,524,0
1370,9410,25.2,2GA,2楷林,12.0,354.0,0.0,0.004,0.0578,0,1,0.011,0.02,0.0,0.334,40.0,0.0085,0.0034,0.028,0.026,0.0,15.0,5GG,5A,0,CR,12,1.2,409,0
1360,10430,27.73,3GC,2楷林,23.0,525.0,0.0,0.007,0.0706,3,0,0.019,0.02,0.0,0.887,37.0,0.0197,0.0023,0.023,0.02,0.002,13.0,3GB,4C,0,HR,3,2.0,502,0
1000,10370,20.27,2GA,2楷林,49.0,328.0,0.0,0.005,0.0379,0,0,0.013,0.02,0.0,0.214,21.0,0.0095,0.003,0.028,0.027,0.0,11.3,5GG,5A,0,FH,2,1.6,327,0
1280,9230,23.1,2L3,1楷林,26.0,502.0,0.0,0.005,0.1628,0,0,0.012,0.02,0.0,0.484,22.0,0.011,0.0039,0.029,0.026,0.0,15.5,5GG,7A,0,HR,4,6.5,431,0
